,se question,aave question,actual answer,se passage,se answer,aave passage,aave answer,se correct,aave correct
10,is a wolverine the same as a badger,"A wolverine, is it the same as a badger?",False,"Badger -- Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies: Melinae (Eurasian badgers), Mellivorinae (the honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family Mephitidae.",False,"Badger -- Badgers be short-legged omnivores from the Mustelidae fam, which also got otters, polecats, weasels, and wolverines. These creatures be part of the caniform suborder of carnivoran mammals. There's 11 species of badgers split into three subfamilies: Melinae (Eurasian badgers), Mellivorinae (dat honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers from the genus Mydaus used to be counted with Melinae (so, Mustelidae), but new genetic proof show they actually part of the skunk fam, which puts them in the Mephitidae taxonomic family.",False,1,1
11,will there be a green lantern 2 movie,they finna make a Green Lantern 2 movie or nah?,False,"Green Lantern (film) -- Green Lantern was released on June 17, 2011, and received generally negative reviews; most criticized the film for its screenplay, inconsistent tone, choice and portrayal of villains, and its use of CGI, while some praised Reynolds' performance. Reynolds would later voice his dissatisfaction with the film. The film underperformed at the box office, grossing $219 million against a production budget of $200 million. Due to the film's negative reception and disappointing box office performance, Warner Bros. canceled any plans for a sequel, instead opting to reboot the character in the DC Extended Universe line with the film Green Lantern Corps, set for release in 2020.",False,"Green Lantern (movie) -- Green Lantern dropped on June 17, 2011, but it ain't get much love from the critics; most folks was bashing it for its script, how it was all over the place, how they handled the bad guys, and the heavy CGI. Some did give props to Reynolds' acting though. Reynolds himself wasn’t too happy with how it turned out. At the box office, it didn’t do too hot, pulling in just $219 million on a $200 million budget. Cause of the rough feedback and weak box office numbers, Warner Bros. scrapped any ideas for a follow-up. Instead, they decided to give the character a fresh start in the DC Extended Universe with the movie Green Lantern Corps, which was supposed to come out in 2020.",False,1,1
12,does the icc has jurisdiction in the united states,do the ICC got jurisdiction in the United States?,False,"United States and the International Criminal Court -- The United States should have the chance to observe and assess the functioning of the court, over time, before choosing to become subject to its jurisdiction. Given these concerns, I will not, and do not recommend that my successor, submit the treaty to the Senate for advice and consent until our fundamental concerns are satisfied.",False,"US and the International Criminal Court — The US gotta take some time to watch and figure out how the court do its thing, before deciding to be under its rules. With these worries in mind, I ain't gonna, and I won't suggest my next in line, to bring the treaty to the Senate for approval 'til we good with everything.",False,1,1
13,calcium carbide cac2 is the raw material for the production of acetylene,"Calcium carbide, CaC2, be the raw stuff fo' makin' acetylene.",True,Calcium carbide -- Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.,True,Calcium carbide -- Calcium carbide be a chemical compound wit' the chemical formula of CaC. Its main use in industry be in makin' acetylene and calcium cyanamide.,True,1,1
14,is there a now you see me 3 coming out,"they finna drop a ""Now You See Me 3"" or what?",True,"Now You See Me (film series) -- Now You See Me is a series of heist thriller film written by Ed Solomon, Boaz Yakin, and Edward Ricourt. They focus on the actions of a team of illusionists named ``The Four Horsemen'' who pull off near impossible heists. The series features an ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzy Caplan, and Morgan Freeman. The first film was released in 2013, while the second was released in 2016, and a third film is currently in development and set to be released in 2019. The series has received mixed reviews from critics and audiences and grossed nearly $700 million worldwide.",False,"Now You See Me (film series) -- Now You See Me be a bunch of heist thriller movies written by Ed Solomon, Boaz Yakin, and Edward Ricourt. They all about this squad of magicians called The Four Horsemen who be pulling off some crazy heists that almost seem impossible. The series got a big cast with folks like Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzy Caplan, and Morgan Freeman. The first movie dropped in 2013, the next one came out in 2016, and they got another one on the way, supposed to come out in 2019. The series got mixed feelings from critics and people watching, but it still made almost $700 million all over the world.",True,0,1
15,does a penalty shoot out goal count towards the golden boot,do goals from a penalty shootout count towards the golden boot?,False,"Penalty shoot-out (association football) -- A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.",False,"Penalty shootout in soccer -- When folks tally up stats, they usually treat the shootout like it's its own thing, separate from the game before it. If it’s a two-game series, each game counts as either a draw or one win and one loss, but if it's just one game, it's still marked as a draw. This is different from when a game is won in extra time, where the final score replaces the regular time score. Also, goals made in a shootout don't count towards a player's total goals or for competitions like the golden boot.",False,1,1
16,will there be a new season of cutthroat kitchen,they gon' drop a new season of Cutthroat Kitchen or what?,False,"Cutthroat Kitchen -- Cutthroat Kitchen is a cooking show hosted by Alton Brown that aired on the Food Network from August 11, 2013 to July 19, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which they can purchase opportunities to sabotage one another. Each chef is given $25,000 at the start of the show; the person left standing keeps whatever money they have not spent in the auctions. The show ended on its fifteenth season in July 2017. The series shares some basic elements with other four-chef, three-round elimination-style competitions on Food Network including Chopped and Guy's Grocery Games. Numerous Cutthroat Kitchen contestants have competed on these shows.",False,"Cutthroat Kitchen -- Cutthroat Kitchen a show where Alton Brown be hostin', and it was poppin' on Food Network from August 11, 2013 all up till July 19, 2017. The show got four chefs throwin' down in a kitchen battle across three rounds, tryna outcook each other. But here's the twist: they get to bid on ways to mess with each other’s game. Each chef starts off with a stack of $25,000, and whoever lasts till the end keeps whatever cash they ain't spent on them sabotages. The show wrapped after fifteen seasons in July 2017. This show got some common vibes with other Food Network face-offs like Chopped and Guy's Grocery Games, where chefs also gotta survive through three rounds. And a bunch of chefs from Cutthroat Kitchen been showin' up on them other shows too.",False,1,1
17,is jack sikma in the hall of fame,"Jack Sikma, he in the Hall of Fame?",True,"Jack Sikma -- In 2006, Sikma was voted as one of the 100 Legends of the IHSA Boys Basketball Tournament, a group of former players and coaches in honor of the 100 anniversary of the IHSA boys basketball tournament. On June 27, 2017, Sikma was inducted into the Small College Basketball Hall of Fame as part of their second class . Inducted alongside Sikma were Zelmo Beaty, Walt Frazier, Bob Love, Elmore Smith, Jim Spivey, Rico Swanson, George Tinsley, and Al Tucker.",True,"Jack Sikma -- Back in 2006, Sikma got picked as one of the top 100 Legends of the IHSA Boys Basketball Tournament, celebratin' the folks who made their mark in the game for the 100th anniversary of the IHSA boys basketball tournament. Then, on June 27, 2017, Sikma got his name called up into the Small College Basketball Hall of Fame with the second ever group. He got inducted with some other heavy hitters like Zelmo Beaty, Walt Frazier, Bob Love, Elmore Smith, Jim Spivey, Rico Swanson, George Tinsley, and Al Tucker.",True,1,1
18,can elves and humans mate lord of the rings,can elves and humans get together in lord of the rings?,True,"Half-elven -- In J.R.R. Tolkien's fictional universe of Middle-earth, the Half-elven (Sindarin singular Peredhel, plural Peredhil, Quenya singular Perelda) are the children of the union of Elves and Men. Of these, the most significant were the products of couplings between the Eldar (the Elves who followed the Call to Valinor) and the Edain (the Men of the Three Houses of early Men who allied themselves with the Eldar in their war against Morgoth).",True,"Half-elven -- In J.R.R. Tolkien's world of Middle-earth, the Half-elven (in Sindarin that's Peredhel if you talkin' 'bout one, Peredhil for more than one, and in Quenya it's Perelda for just one) are them kids born from Elves and Men mixin'. Outta all of them, the most important ones came from when the Eldar (those Elves who peeped the Call to Valinor) got together with the Edain (the Men from the Three Houses who teamed up with the Eldar to fight against Morgoth).",True,1,1
19,the boy in the plastic bubble based on true story,"""The Boy in the Plastic Bubble"" based on a true story?",True,"The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, at the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ``What Would They Say'' was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.",True,"The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble is a drama from 1976 that was made for TV. It's based on the real lives of David Vetter and Ted DeVita, who both had weak immune systems. The film features John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy, and P.J. Soles. Douglas Day Stewart wrote it. Aaron Spelling and Leonard Goldberg, who were busy with Starsky and Hutch and Charlie's Angels at the time, were the executive producers. Randal Kleiser directed the movie, and he teamed up with Travolta again in Grease not long after. Mark Snow made the original music, and Paul Williams wrote and sang the theme song What Would They Say. They shot the film at William Howard Taft High School in Woodland Hills.",True,1,1
20,science begins with the premise that knowledge should first be acquired through observation,science start off by sayin' you gotta peep things first to know stuff,True,"A priori and a posteriori -- These terms are used with respect to reasoning (epistemology) to distinguish ``necessary conclusions from first premises'' (i.e., what must come before sense observation) from ``conclusions based on sense observation'' (which must follow it). Thus, the two kinds of knowledge, justification, or argument, may be glossed:",False,"A priori and a posteriori -- Folks use these terms when they talkin’ ‘bout reasoning or figuring things out (epistemology) to tell the difference between what we know just 'cause it gotta be that way from the jump (like, stuff we know without needing to check it first) and what we figure out by watching and seeing (stuff that comes after we peep something). So, these two kinds of knowing, proving, or making your point, can be broken down like this:",True,0,1
21,is tim brown in the hall of fame,Tim Brown in the Hall of Fame?,True,"Tim Brown (American football) -- Timothy Donell Brown (born July 22, 1966) is a former American football wide receiver who played professionally in the National Football League (NFL). He played college football for Notre Dame, where he won the Heisman Trophy, becoming the first wide receiver to win the award. He spent sixteen years with the Los Angeles/Oakland Raiders, during which he established himself as one of the NFL's most prolific wide receivers. Brown has also played for the Tampa Bay Buccaneers. In 2015, he was inducted into the Pro Football Hall of Fame.",True,"Tim Brown, born Timothy Donell Brown on July 22, 1966, is a retired American football wide receiver who balled out in the NFL. He played his college football at Notre Dame and was the first wide receiver ever to snatch up the Heisman Trophy. Tim spent most of his sixteen seasons with the Los Angeles/Oakland Raiders, where he made a name for himself as one of the league's all-time great receivers. He also had a stint with the Tampa Bay Buccaneers. In 2015, dude was honored by being inducted into the Pro Football Hall of Fame.",True,1,1
22,can you drink alcohol in public in denmark,can you sip on some alcohol in public in Denmark?,True,Drinking in public -- Drinking in public in Denmark is legal in general. The law forbids ``disturbing of the public law and order''. Thus general consumption is accepted. Several cafes have outdoor serving in the same zones.,True,"Drinking outside — In Denmark, it’s cool to drink in public most of the time. But you can't be out there causing a ruckus or disturbing the peace. So, folks just enjoy their drinks, and plenty of cafes even serve outdoors in the same areas.",True,1,1
23,is jersey currency legal tender in the uk,do they use Jersey money in the UK?,False,"Jersey pound -- Both Jersey and Bank of England notes are legal tender in Jersey and circulate together, alongside the Guernsey pound and Scottish banknotes. The Jersey notes are not legal tender in the United Kingdom but are legal currency, so creditors and traders may accept them if they so choose.",False,"Jersey pound -- In Jersey, both dem Jersey notes and dem Bank of England notes good for spending, and they be all around the place with Guernsey pound and Scottish banknotes too. Now, dem Jersey notes, they ain't officially good for spending in the UK, but they still legal currency, so folks over there can take 'em if they want to.",False,1,1
24,have the milwaukee bucks ever won a championship,Did the Milwaukee Bucks ever win a championship?,True,"Milwaukee Bucks -- The Bucks have won one league title (1971), two conference titles (1971 and 1974), and 13 division titles (1971--1974, 1976, 1980--1986, 2001). They have featured such notable players as Kareem Abdul-Jabbar, Sidney Moncrief, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Cassell, Junior Bridgeman, Michael Redd, Terry Cummings, Vin Baker, Jon McGlocklin, Marques Johnson, and Brian Winters.",True,"Milwaukee Bucks -- The Bucks done snagged one league title back in '71, copped two conference titles in '71 and '74, and racked up 13 division titles ('71-'74, '76, '80-'86, 2001). They done had some real heavy hitters on the squad like Kareem Abdul-Jabbar, Sidney Moncrief, Oscar Robertson, Bob Dandridge, Bob Lanier, Glenn Robinson, Ray Allen, Sam Cassell, Junior Bridgeman, Michael Redd, Terry Cummings, Vin Baker, Jon McGlocklin, Marques Johnson, and Brian Winters.",True,1,1
25,does the world cup final go to penalties,do the world cup final go to penalties?,True,"List of FIFA World Cup penalty shoot-outs -- This is a list of all penalty shoot-outs that have occurred in the Finals tournament of the FIFA World Cup. Penalty shoot-outs were introduced as tie-breakers in the 1978 World Cup but did not occur before 1982. The first time a World Cup title was won by penalty shoot-out was in 1994. The only other time was in 2006. By the end of the 2018 edition, 30 shoot-outs have taken place in the World Cup. Of these, only two reached the sudden death stage after still being tied at the end of ``best of five kicks''.",True,"List of FIFA World Cup penalty shoot-outs -- Here's a rundown of all the penalty shoot-outs that have gone down in the FIFA World Cup Finals. They started using penalty shoot-outs to break ties in the 1978 World Cup, but the first one didn't happen until 1982. The first time somebody clinched the World Cup title in a penalty shoot-out was in 1994. It only happened again in 2006. By the time the 2018 tournament wrapped up, there had been 30 shoot-outs. Out of these, only two hit the sudden death phase after they were still tied following the initial best of five kicks.",True,1,1
26,is kingdom manga based on a true story,"Is the manga ""Kingdom"" based on real events?",True,"Kingdom (manga) -- Kingdom (キングダム, Kingudamu) is a Japanese manga series written and illustrated by Yasuhisa Hara (原泰久, Hara Yasuhisa). The manga provides a fictionalized account of the Warring States period primarily through the experiences of the war orphan Xin and his comrades as he fights to become the greatest general under the heavens, and in doing so, unifying China for the first time in history. The series was adapted into a thirty-eight episode anime series by studio Pierrot that aired from June 4, 2012 to February 25, 2013. A second season was announced and aired from June 8, 2013 to March 1, 2014. An English language release of the anime was licensed by Funimation.",False,"Kingdom (manga) – Kingdom (キングダム, Kingudamu) is a Japanese manga series created by Yasuhisa Hara. This manga tells a made-up story 'bout the Warring States period mostly through the life of Xin, a war orphan, and his squad as they strive to make him the top general ever, aiming to bring China together for the first time. The manga got turned into a thirty-eight episode anime by studio Pierrot, which was shown from June 4, 2012, to February 25, 2013. They even dropped a second season that ran from June 8, 2013, to March 1, 2014. Funimation handled the English language version of the anime.",False,0,0
27,is croatia part of the european economic area,Croatia part of the European Economic Area?,True,"European Economic Area -- As of 2014 the contracting parties to the EEA are 3 of the 4 EFTA member states and 27 of the 28 EU member states. The 28th and newest EU member, Croatia, finished negotiating their accession to the EEA in November 2013, and since 12 April 2014 is provisionally applying the agreement pending its ratification by all EEA member states.",False,"European Economic Area -- Check it, since 2014, the folks who signed up for the EEA include three outta the four EFTA member states and 27 outta the 28 EU member states. Now, Croatia, the newest member of the EU, wrapped up their talks to join the EEA back in November 2013. They been kinda unofficially in the mix since 12 April 2014, waitin' on all the EEA member states to give it the thumbs up.",False,0,0
28,can u marry a dead person in france,can u marry somebody who done passed away in France?,True,"Posthumous marriage -- Posthumous marriage (or necrogamy) is a marriage in which one of the participating members is deceased. It is legal in France and similar forms are practiced in Sudan and China. Since World War I, France has had hundreds of requests each year, of which many have been accepted.",True,"Posthumous marriage — Posthumous marriage (or necrogamy) is when one of the folks gettin' married done passed away. It's legal in France, and they got somethin' like it in Sudan and China too. Ever since World War I, France be havin' hundreds of these requests every year, and a whole lot of 'em get approved.",True,1,1
29,is saline and sodium chloride the same thing,"Saline an' sodium chloride, they the same thing or nah?",False,"Saline (medicine) -- Saline, also known as saline solution, is a mixture of sodium chloride in water and has a number of uses in medicine. Applied to the affected area it is used to clean wounds, help remove contact lenses, and help with dry eyes. By injection into a vein it is used to treat dehydration such as from gastroenteritis and diabetic ketoacidosis. It is also used to dilute other medications to be given by injection.",False,"Saline (medicine) -- Saline, or saline solution, be like a mix of salt (sodium chloride) in water and it's got a bunch of uses in medicine. When you put it on where it hurts, it helps clean wounds, makes it easier to take out contact lenses, and deals with dry eyes. If you inject it into a vein, it's used for treating dehydration from stuff like gastroenteritis and diabetic ketoacidosis. Plus, it's used to water down other meds that need to be given by injection.",False,1,1
30,is there a treatment for the bubonic plague,do they got a cure for the bubonic plague?,True,"Bubonic plague -- Several classes of antibiotics are effective in treating bubonic plague. These include aminoglycosides such as streptomycin and gentamicin, tetracyclines (especially doxycycline), and the fluoroquinolone ciprofloxacin. Mortality associated with treated cases of bubonic plague is about 1--15%, compared to a mortality of 40--60% in untreated cases.",True,"Bubonic plague – Aight, so check it, we got some strong antibiotics that can knock out bubonic plague. We talkin' 'bout aminoglycosides like streptomycin and gentamicin, tetracyclines (you know, like doxycycline), and that fluoroquinolone called ciprofloxacin. Now, if you treat it, the death rate drops to about 1--15%, but if you don't, it shoots up to 40--60%.",True,1,1
31,does buffy's mom know she's a slayer,Buffy mama know she a slayer?,True,"Joyce Summers -- The premise of the series is that Buffy is the latest Slayer, a young woman endowed by mystical forces with superhuman powers to fight and defeat vampires, demons, and other evil forces in the fictional town of Sunnydale. Like every Slayer before her, she was chosen and informed of her destiny when she was 15 years old. Her mother is unaware of her daughter's powers and responsibilities until Buffy is forced to tell her at the end of the second season of the television series. Although Joyce is shocked at this revelation, she recovers quickly and remains a source of stability for Buffy and Buffy's small circle of friends who assist her, dubbed the Scooby Gang. Eventually Joyce is able to take Buffy's dangerous demon-fighting in stride and even become proud and respectful of her daughter's abilities. Her natural death from an illness in the fifth season forces Buffy to face becoming an adult.",True,"Joyce Summers -- So, the deal is, Buffy's the latest Slayer, right? She's this young lady blessed with these crazy powers to throw down with vampires, demons, and all sorts of bad news in this made-up place called Sunnydale. Like all the Slayers before her, she got picked and found out about her big destiny when she was just 15. Now, her mama didn't know nothing about her daughter's powers and what she had to handle until Buffy had to spill the beans at the end of season two. Though Joyce was all shook up when she first heard, she bounced back real quick and ended up being this rock for Buffy and her crew, the Scooby Gang, who help her out. After a while, Joyce gets the hang of Buffy’s wild demon-fighting life and even starts feeling proud and respecting her daughter’s skills. But then, Joyce passes from an illness in the fifth season, and that's when Buffy really has to step up and grow into an adult.",False,1,0
32,was the leaning tower of pisa built leaning,Did they build the Leaning Tower of Pisa to lean from the start?,False,"Leaning Tower of Pisa -- The tower's tilt began during construction in the 12th century, caused by an inadequate foundation on ground too soft on one side to properly support the structure's weight. The tilt increased in the decades before the structure was completed in the 14th century. It gradually increased until the structure was stabilized (and the tilt partially corrected) by efforts in the late 20th and early 21st centuries.",False,"Leaning Tower of Pisa -- So, this tower started leaning while they was building it back in the 12th century, right? All because the foundation wasn't strong enough and the ground was too soft on one side to hold up all that weight. Over the years, that lean got worse 'til they finally finished building it in the 14th century. It kept on leaning more and more until they got round to fixing it some in the late 20th and early 21st centuries, making sure it wouldn’t fall over.",False,1,1
